source,target,weight,shared_episode_count,association_strength,display_width
Andreas Orukambe,Krupp,0.10526,1,0.13363,0.2567
Krupp,Maria (Christian's sister),0.10526,1,0.21822,0.2567
Krupp,Pavel,0.10526,1,0.18898,0.2567
Laszlo Jamf,Maria (Christian's sister),0.10526,1,0.12309,0.2567
Laszlo Jamf,Pavel,0.10526,1,0.1066,0.2567
Géza Rózsavölgyi,Jessica Swanlake,0.10507,2,0.26968,0.2565
Procalowski,Weissmann / Blicero,0.10437,3,0.36927,0.2556
Reverend Paul de la Nuit,Roger Mexico,0.10422,3,0.40825,0.2555
Ilse Pökler,Kurt Mondaugen,0.10421,2,0.5164,0.2555
Kurt Mondaugen,Leni Pökler,0.10421,2,0.4,0.2555
Emil Säure Bummer,Seaman Bodine,0.10419,7,0.70353,0.2554
Carroll Eventyr,Edwin Treacle,0.10417,1,0.18257,0.2554
Edwin Treacle,Nora Dodson-Truck,0.10417,1,0.2582,0.2554
Edwin Treacle,Peter Sachsa,0.10417,1,0.15811,0.2554
Laszlo Jamf,Seaman Bodine,0.10366,3,0.2132,0.2548
Hilary Bounce,Michele,0.10333,2,0.8165,0.2544
Michele,Tyrone Slothrop,0.10333,2,0.20851,0.2544
Ludwig,Weissmann / Blicero,0.10326,4,0.34816,0.2543
Andreas Orukambe,Tchitcherine,0.10297,3,0.25,0.2539
Allen Lamplighter,Carroll Eventyr,0.10172,2,0.4714,0.2524
Clive Mossmoon,Jessica Swanlake,0.10162,4,0.4264,0.2523
Tyrone Slothrop,Vaslav,0.10119,2,0.17025,0.2517
Gottfried,Richard M. Zhlubb,0.10101,1,0.37796,0.2515
Richard M. Zhlubb,Tyrone Slothrop,0.10101,1,0.14744,0.2515
Richard M. Zhlubb,Weissmann / Blicero,0.10101,1,0.2132,0.2515
Milton Gloaming,Ned Pointsman,0.10082,3,0.33541,0.2513
Milton Gloaming,Tyrone Slothrop,0.10082,3,0.22116,0.2513
Geli Tripping,Lyle Bland,0.1008,3,0.40089,0.2512
Maximilian,Seaman Bodine,0.1,1,0.33333,0.2502
Myrtle,Seaman Bodine,0.1,1,0.33333,0.2502
Jerome / Jeremy,Ned Pointsman,0.09983,5,0.42258,0.25
Franz Pökler,Kurt Mondaugen,0.09967,3,0.44721,0.2498
Enzian,Thanatz,0.09939,4,0.24077,0.2495
G. M. B. Haftung,Gerhardt von Göll,0.0965,2,0.31623,0.2458
G. M. B. Haftung,Otto,0.0965,2,0.8165,0.2458
G. M. B. Haftung,Tyrone Slothrop,0.0965,2,0.20851,0.2458
Margherita Erdmann,Procalowski,0.09649,2,0.36515,0.2458
Carroll Eventyr,Dr. Rollo Groast,0.09632,2,0.33333,0.2456
Dr. Rollo Groast,Peter Sachsa,0.09632,2,0.28868,0.2456
Géza Rózsavölgyi,Myron Grunton,0.09598,2,0.4,0.2452
Max Schlepzig,Weissmann / Blicero,0.0959,4,0.25713,0.2451
Dr. Kevin Spectro,Ernest Pudding,0.09566,3,0.47434,0.2448
Enzian,Magda,0.09556,3,0.36116,0.2446
Clive Mossmoon,Dr. Rollo Groast,0.09549,3,0.43301,0.2445
Generaldirektor Smaragd,Ilse Pökler,0.09524,1,0.40825,0.2442
Generaldirektor Smaragd,Leni Pökler,0.09524,1,0.31623,0.2442
Generaldirektor Smaragd,Peter Sachsa,0.09524,1,0.25,0.2442
Clive Mossmoon,Enzian,0.09524,1,0.07372,0.2442
Clive Mossmoon,Marvy,0.09524,1,0.10206,0.2442
Enzian,Sir Marcus Scammony,0.09524,1,0.14744,0.2442
Marvy,Sir Marcus Scammony,0.09524,1,0.20412,0.2442
Hogan,Tyrone Slothrop,0.09514,7,0.39009,0.2441
Clive Mossmoon,Webley Silvernail,0.09337,3,0.43301,0.2418
Milton Gloaming,Pirate Prentice,0.09271,2,0.2357,0.241
Dr. Aaron Throwster,Dr. Rollo Groast,0.09202,4,0.8165,0.2401
Dr. Rollo Groast,Webley Silvernail,0.09159,3,0.5,0.2395
Enzian,Seaman Bodine,0.09124,3,0.20851,0.239
Horst Achtfaden,Weissmann / Blicero,0.09102,3,0.28604,0.2387
Charles,Sheila,0.09091,1,0.70711,0.2386
Enzian,Sheila,0.09091,1,0.20851,0.2386
